标题,租赁方式,户型,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金(元/月),押金(元),服务费(元),中介费(元),链接
首开琅樾,整租,4室2厅3卫,230.72㎡,南 北,9天前,随时入住,中楼层/10层,有,租用车位,民水,民电,有,自采暖,3年以内,需提前预约,季付,35000,35000,0.0,35000,https://bj.zu.ke.com/zufang/BJ1789574829779714048.html
阳光星苑北区,合租,3居室,7.00㎡,南,今天,随时入住,9/16层,有,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,1879,1879,,0,https://bj.zu.ke.com/zufang/BJ1811758556299395072.html
团结湖北二条,合租,2居室,9.40㎡,南,今天,随时入住,10/10层,有,租用车位,民水,民电,有,集中供暖,7~12个月,随时可看,月付,3108,3108,,0,https://bj.zu.ke.com/zufang/BJ1812105807014133760.html
新外大街甲8号院,整租,3室1厅1卫,89.30㎡,南 北,3天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,11500,11500,0.0,11500,https://bj.zu.ke.com/zufang/BJ1791042343080558592.html
宜山居,整租,5室2厅3卫,205.00㎡,南 北,7天前,随时入住,低楼层/3层,无,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,15000,15000,0.0,15000,https://bj.zu.ke.com/zufang/BJ1791796093453860864.html
V7九间堂,整租,5室2厅3卫,270.60㎡,南 北,15天前,随时入住,低楼层/3层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,17000,17000,0.0,17000,https://bj.zu.ke.com/zufang/BJ1792072466068144128.html
美林香槟小镇,整租,4室2厅3卫,258.55㎡,南 北,14天前,随时入住,中楼层/4层,无,免费使用,民水,民电,有,自采暖,2年以内,需提前预约,季付,15000,15000,0.0,15000,https://bj.zu.ke.com/zufang/BJ1792172877273890816.html
田园风光雅苑,合租,4居室,16.00㎡,南,3天前,2025-01-09,3/6层,无,租用车位,民水,民电,有,自采暖,1~2年,需提前预约,月付,3811,3811,,0,https://bj.zu.ke.com/zufang/BJ1811872778559684608.html
武夷花园牡丹园,合租,5居室,18.50㎡,南,今天,随时入住,6/7层,无,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,1743,1743,,0,https://bj.zu.ke.com/zufang/BJ1811999414428893184.html
中粮祥云国际生活区,整租,5室2厅4卫,532.25㎡,东 南 西 北,14天前,随时入住,低楼层/15层,有,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,季付,20000,20000,0.0,20000,https://bj.zu.ke.com/zufang/BJ1792945320481521664.html
北欧印象,整租,3室1厅2卫,94.00㎡,东,今天,随时入住,高楼层/28层,有,暂无数据,民水,民电,有,自采暖,3年以内,需提前预约,季付,9500,9500,0.0,9500,https://bj.zu.ke.com/zufang/BJ1792526815076548608.html
延静西里,整租,2室1厅1卫,56.07㎡,南,今天,随时入住,5/15层,有,暂无数据,民水,民电,有,集中供暖,1~12个月,随时可看,月付,7276,7276,,0,https://bj.zu.ke.com/zufang/BJ1812031352069947392.html
第三置业,整租,3室1厅0卫,185.00㎡,东北,8天前,随时入住,低楼层/28层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,季付,26800,26800,0.0,26800,https://bj.zu.ke.com/zufang/BJ1792520050029101056.html
太阳公元北区,整租,3室2厅2卫,162.00㎡,南 北,8天前,随时入住,低楼层/25层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,26000,26000,0.0,26000,https://bj.zu.ke.com/zufang/BJ1793196848094117888.html
大湖山庄,整租,7室3厅5卫,638.26㎡,南 北,3天前,随时入住,地下室/2层,无,租用车位,民水,民电,有,自采暖,3年以内,需提前预约,需咨询,130000,130000,0.0,130000,https://bj.zu.ke.com/zufang/BJ1793253256495890432.html
熙旺中心,整租,3房间1卫,71.29㎡,北,今天,随时入住,高楼层/26层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,季付,4400,4400,0.0,4400,https://bj.zu.ke.com/zufang/BJ1793494012389228544.html
建材城西二里,整租,1室1厅1卫,46.36㎡,南,今天,随时入住,3/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,5386,5386,,0,https://bj.zu.ke.com/zufang/BJ1812144868995104768.html
康家园,整租,2室1厅1卫,69.72㎡,东南,1天前,随时入住,低楼层/16层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5100,5100,0.0,5100,https://bj.zu.ke.com/zufang/BJ1793972734577868800.html
十里堡东里,整租,3室1厅1卫,62.00㎡,南 北,5天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5000,5000,0.0,5000,https://bj.zu.ke.com/zufang/BJ1793993117842538496.html
阜成门北大街,整租,1室1厅1卫,43.00㎡,东,今天,随时入住,5/13层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,7381,7381,,0,https://bj.zu.ke.com/zufang/BJ1812141288925954048.html
上地科贸大厦,整租,3室1厅2卫,132.93㎡,西,1天前,随时入住,高楼层/7层,有,租用车位,商水,商电,有,集中供暖,3年以上,需提前预约,季付,10000,10000,0.0,10000,https://bj.zu.ke.com/zufang/BJ1794645124131586048.html
东兴二区,合租,3居室,9.50㎡,北,1天前,2024-12-29,1/6层,无,暂无数据,民水,民电,有,集中供暖,1年,需提前预约,月付,1533,1533,,0,https://bj.zu.ke.com/zufang/BJ1812474437530812416.html
枫丹壹号二期,整租,3室1厅1卫,95.00㎡,南,6天前,随时入住,高楼层/25层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,7500,7500,0.0,7500,https://bj.zu.ke.com/zufang/BJ1794645172890370048.html
枫桦豪景一期,整租,3室1厅2卫,186.39㎡,南 北,7天前,随时入住,高楼层/15层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,55000,55000,0.0,55000,https://bj.zu.ke.com/zufang/BJ1940272013142654976.html
中海寰宇时代,整租,3室1厅1卫,88.16㎡,南 北,8天前,随时入住,中楼层/15层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,6500,6500,0.0,6500,https://bj.zu.ke.com/zufang/BJ1940251551629049856.html
优山美地C区,整租,5室2厅5卫,445.93㎡,南 北,今天,随时入住,低楼层/3层,无,免费使用,民水,民电,有,自采暖,3年以内,需提前预约,季付,40000,40000,0.0,40000,https://bj.zu.ke.com/zufang/BJ1940260363446517760.html
富贵园二区,合租,3居室,9.20㎡,北,今天,随时入住,13/18层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,2971,2971,,0,https://bj.zu.ke.com/zufang/BJ1956133480932835328.html
怡和南路13号院,整租,2房间1卫,42.00㎡,西,1天前,随时入住,高楼层/6层,有,暂无数据,商水,商电,无,集中供暖,1年以内,需提前预约,季付,2500,2500,0.0,2500,https://bj.zu.ke.com/zufang/BJ1940338661539184640.html
双旗杆东里,合租,3居室,7.00㎡,北,今天,随时入住,4/18层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,2793,2793,,0,https://bj.zu.ke.com/zufang/BJ1956096966265929728.html
华润悦景湾,整租,5房间2卫,76.00㎡,东,1天前,随时入住,高楼层/21层,有,暂无数据,商水,商电,有,集中供暖,暂无数据,需提前预约,季付,6300,6300,0.0,6300,https://bj.zu.ke.com/zufang/BJ1940313931213963264.html
府前街小区,整租,4室1厅1卫,93.00㎡,南 北,6天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2000,2000,0.0,2000,https://bj.zu.ke.com/zufang/BJ1940332785797431296.html
东直门内北小街2号院,整租,3室1厅3卫,145.00㎡,西,1天前,随时入住,低楼层/20层,有,暂无数据,民水,民电,有,自采暖,3年以上,需提前预约,年付,18000,18000,0.0,18000,https://bj.zu.ke.com/zufang/BJ1940331980939853824.html
海特花园西区,合租,4居室,13.30㎡,南,今天,随时入住,9/18层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,2446,2446,,0,https://bj.zu.ke.com/zufang/BJ1956089647348056064.html
双裕花园西区,整租,4室2厅2卫,219.52㎡,南 北,3天前,随时入住,低楼层/4层,无,租用车位,民水,民电,有,自采暖,暂无数据,需提前预约,半年付,11250,11250,0.0,11250,https://bj.zu.ke.com/zufang/BJ1940333038651047936.html
菜园街10号院,整租,2室1厅1卫,98.00㎡,南,今天,随时入住,2/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,10069,10069,,0,https://bj.zu.ke.com/zufang/BJ1956034398331600896.html
龙跃苑三区,合租,5居室,11.00㎡,北,今天,随时入住,5/6层,无,租用车位,民水,民电,有,自采暖,4~7个月,随时可看,月付,2184,2184,,0,https://bj.zu.ke.com/zufang/BJ1956096221193961472.html
芳群园三区,整租,1室1厅1卫,47.04㎡,南,2天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4800,4800,0.0,4800,https://bj.zu.ke.com/zufang/BJ1940324015214166016.html
柳泽湾,整租,2室1厅1卫,88.10㎡,南,7天前,随时入住,高楼层/20层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5000,5000,0.0,5000,https://bj.zu.ke.com/zufang/BJ1940314677615525888.html
东领鉴筑,合租,4居室,15.90㎡,北,今天,随时入住,4/7层,有,租用车位,民水,民电,有,自采暖,1~24个月,随时可看,月付,2478,2478,,0,https://bj.zu.ke.com/zufang/BJ1956086360230068224.html
701宿舍,整租,2室1厅1卫,53.43㎡,南 北,1天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3500,3500,0.0,3500,https://bj.zu.ke.com/zufang/BJ1940291875428630528.html
龙乡东区,合租,3居室,11.80㎡,南,今天,随时入住,5/6层,无,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,2761,2761,,0,https://bj.zu.ke.com/zufang/BJ1956100061859414016.html
国美第一城2号院,整租,3室2厅2卫,129.00㎡,东南,7天前,随时入住,高楼层/27层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,季付,9500,9500,0.0,9500,https://bj.zu.ke.com/zufang/BJ1940289596399026176.html
观林园,合租,4居室,10.70㎡,北,今天,随时入住,3/6层,有,租用车位,民水,民电,有,集中供暖,7~12个月,随时可看,月付,2536,2536,,0,https://bj.zu.ke.com/zufang/BJ1956121651590463488.html
名都园,整租,2室2厅1卫,76.59㎡,东南,2天前,随时入住,低楼层/6层,有,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,7000,7000,0.0,7000,https://bj.zu.ke.com/zufang/BJ1940364816778526720.html
草桥欣园20号院,合租,4居室,7.50㎡,北,今天,随时入住,4/6层,有,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,1921,1921,,0,https://bj.zu.ke.com/zufang/BJ1956103276965396480.html
华樾国际领尚,整租,3室1厅2卫,98.83㎡,南,1天前,随时入住,高楼层/23层,无,租用车位,暂无数据,暂无数据,有,集中供暖,1年以内,需提前预约,季付,7600,7600,0.0,7600,https://bj.zu.ke.com/zufang/BJ1940373098192699392.html
核桃园北里,合租,3居室,9.50㎡,北,今天,随时入住,6/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,2793,2793,,0,https://bj.zu.ke.com/zufang/BJ1956097935762522112.html
西潞东里社区,整租,2室1厅1卫,89.00㎡,南 北,13天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2700,2700,0.0,2700,https://bj.zu.ke.com/zufang/BJ1940378337977303040.html
马甸南村,合租,3居室,12.80㎡,东,今天,随时入住,11/13层,有,暂无数据,民水,民电,有,集中供暖,1~12个月,随时可看,月付,3391,3391,,0,https://bj.zu.ke.com/zufang/BJ1956112054184050688.html
太月园,合租,3居室,14.80㎡,南,今天,随时入住,2/26层,有,租用车位,民水,民电,有,集中供暖,4~7个月,随时可看,月付,3820,3820,,0,https://bj.zu.ke.com/zufang/BJ1956100987219345408.html
鹿港嘉苑,整租,1室1厅1卫,65.28㎡,西北,3天前,随时入住,高楼层/23层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,7200,7200,0.0,7200,https://bj.zu.ke.com/zufang/BJ1940375497955344384.html
立方庭,整租,1室1厅2卫,43.00㎡,东,10天前,随时入住,中楼层/10层,有,租用车位,商水,商电,有,集中供暖,1年以内,需提前预约,季付,9800,9800,0.0,9800,https://bj.zu.ke.com/zufang/BJ1940377247999328256.html
中国铁建国际城,合租,4居室,8.90㎡,北,今天,随时入住,4/28层,有,租用车位,民水,民电,有,集中供暖,1~12个月,随时可看,月付,2299,2299,,0,https://bj.zu.ke.com/zufang/BJ1956100204729991168.html
时代芳群,整租,6室2厅4卫,332.12㎡,南 北,10天前,随时入住,低楼层/30层,有,暂无数据,民水,民电,有,自采暖,3年以内,需提前预约,季付,110000,110000,0.0,110000,https://bj.zu.ke.com/zufang/BJ1808122858795171840.html
翡翠西湖一期,整租,车库,276.45㎡,暂无,1天前,随时入住,暂无,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,25000,25000,0.0,25000,https://bj.zu.ke.com/zufang/BJ1808715105249001472.html
建设部大院,整租,1室1厅1卫,57.00㎡,东南,9天前,随时入住,低楼层/20层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,7600,7600,0.0,7600,https://bj.zu.ke.com/zufang/BJ1808383110321012736.html
康营家园四期C区,合租,1居室,30.00㎡,南,2天前,随时入住,17/21层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3~12个月,随时可看,季付,3100,3100,,0,https://bj.zu.ke.com/zufang/BJ1966337697303756800.html
磨房南里,整租,2室1厅1卫,58.13㎡,南 北,1天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4700,4700,0.0,4700,https://bj.zu.ke.com/zufang/BJ1808852052630044672.html
宣颐家园,整租,3室1厅2卫,109.00㎡,南 北,8天前,随时入住,低楼层/14层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,6500,6500,0.0,6500,https://bj.zu.ke.com/zufang/BJ1808814269328785408.html
椿树园,整租,3室1厅2卫,123.57㎡,南,今天,随时入住,2/11层,有,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,19099,19099,,0,https://bj.zu.ke.com/zufang/BJ1966198565797625856.html
景龙国际,整租,3室1厅1卫,171.61㎡,南,3天前,随时入住,低楼层/22层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,15500,15500,0.0,15500,https://bj.zu.ke.com/zufang/BJ1808822404382720000.html
月亮城堡,整租,3室2厅2卫,224.04㎡,南 北,3天前,随时入住,中楼层/8层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,季付,9800,9800,0.0,9800,https://bj.zu.ke.com/zufang/BJ1809555544428511232.html
复地运河公馆,整租,2室1厅1卫,89.00㎡,南,2天前,随时入住,中楼层/39层,有,暂无数据,商水,商电,有,集中供暖,1年以内,需提前预约,季付,8000,8000,0.0,8000,https://bj.zu.ke.com/zufang/BJ1810192557213220864.html
世茂奥临花园,整租,3室2厅2卫,198.00㎡,南 北,4天前,随时入住,中楼层/28层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,21000,21000,0.0,21000,https://bj.zu.ke.com/zufang/BJ1810187258221821952.html
旭辉E天地,整租,2房间1卫,40.00㎡,南,11天前,随时入住,高楼层/14层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,季付,2800,2800,0.0,2800,https://bj.zu.ke.com/zufang/BJ1810628274326339584.html
北京洋房,整租,3室2厅3卫,197.54㎡,东 西,15天前,随时入住,高楼层/5层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,7300,7300,0.0,7300,https://bj.zu.ke.com/zufang/BJ1811426193187012608.html
荣丰2008,整租,1室1厅2卫,51.23㎡,南,今天,随时入住,4/12层,有,暂无数据,民水,民电,有,集中供暖,1~3年,随时可看,月付,8599,8599,,0,https://bj.zu.ke.com/zufang/BJ1966280772318920704.html
北京华侨城2号院,整租,3室1厅2卫,139.99㎡,南 北,10天前,随时入住,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,11500,11500,0.0,11500,https://bj.zu.ke.com/zufang/BJ1811731185773051904.html
翠竹新村,整租,3室1厅2卫,128.00㎡,南 北,1天前,随时入住,低楼层/11层,有,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6500,6500,0.0,6500,https://bj.zu.ke.com/zufang/BJ1811638838989160448.html
白家庄东里,合租,3居室,8.70㎡,北,今天,随时入住,3/6层,无,暂无数据,民水,民电,有,集中供暖,4~7个月,随时可看,月付,2683,2683,,0,https://bj.zu.ke.com/zufang/BJ1966272981994831872.html
紫禁壹号院北院,整租,3室2厅3卫,337.00㎡,南 北,14天前,随时入住,中楼层/4层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,29000,29000,0.0,29000,https://bj.zu.ke.com/zufang/BJ1811706758888947712.html
京棉新城A1区,整租,2室1厅1卫,82.00㎡,西南,10天前,随时入住,低楼层/34层,有,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,6800,6800,0.0,6800,https://bj.zu.ke.com/zufang/BJ1812039328038125568.html
玉海园二里,合租,3居室,12.02㎡,南,今天,随时入住,3/6层,无,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,2971,2971,,0,https://bj.zu.ke.com/zufang/BJ1966328914326323200.html
芭蕾雨悦都北区,合租,3居室,12.10㎡,北,今天,随时入住,3/9层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,1879,1879,,0,https://bj.zu.ke.com/zufang/BJ1966205098149281792.html
长安新城,合租,4居室,22.10㎡,南,今天,随时入住,2/11层,有,租用车位,民水,民电,有,自采暖,2~4个月,随时可看,月付,2971,2971,,0,https://bj.zu.ke.com/zufang/BJ1966353905965072384.html
珠江峰景,整租,3室1厅2卫,126.00㎡,东南,9天前,随时入住,高楼层/21层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,8000,8000,0.0,8000,https://bj.zu.ke.com/zufang/BJ1812415449002934272.html
利锦府,整租,1室1厅1卫,62.00㎡,西,1天前,随时入住,低楼层/19层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,4200,4200,0.0,4200,https://bj.zu.ke.com/zufang/BJ1812150586871644160.html
朝阳旺角,整租,3室1厅1卫,111.58㎡,南,2天前,随时入住,中楼层/12层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,6300,6300,0.0,6300,https://bj.zu.ke.com/zufang/BJ1812122428281716736.html
太平桥小区,整租,3室1厅1卫,78.08㎡,东 西北,今天,随时入住,低楼层/24层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,6500,6500,0.0,6500,https://bj.zu.ke.com/zufang/BJ1813127651431284736.html
北航家属院,整租,2室1厅1卫,60.00㎡,南 北,今天,随时入住,中楼层/6层,无,租用车位,暂无数据,暂无数据,有,暂无数据,3年以内,需提前预约,季付,13000,13000,0.0,13000,https://bj.zu.ke.com/zufang/BJ1813479369167863808.html
燕西华府,整租,3室2厅3卫,199.43㎡,南 北,10天前,随时入住,低楼层/6层,有,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,8300,8300,0.0,8300,https://bj.zu.ke.com/zufang/BJ1813549135551266816.html
龙湖,整租,4室2厅4卫,314.00㎡,南 北,10天前,随时入住,中楼层/4层,无,暂无数据,民水,民电,暂无数据,暂无数据,3年以上,需提前预约,季付,30000,30000,0.0,30000,https://bj.zu.ke.com/zufang/BJ1813821885067034624.html
中信新城东区,整租,3室1厅2卫,130.89㎡,南 北,7天前,随时入住,中楼层/12层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,8500,8500,0.0,8500,https://bj.zu.ke.com/zufang/BJ1813809415778729984.html
橡树湾五期,整租,3室2厅2卫,206.00㎡,南 北,7天前,随时入住,低楼层/20层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,28000,28000,0.0,28000,https://bj.zu.ke.com/zufang/BJ1939573298048270336.html
光明楼,合租,3居室,8.00㎡,北,今天,随时入住,3/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,2446,2446,,0,https://bj.zu.ke.com/zufang/BJ1797309307964882944.html
裕龙一区,整租,5室1厅2卫,149.75㎡,南,2天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3700,3700,0.0,3700,https://bj.zu.ke.com/zufang/BJ1939594897942118400.html
金色漫香苑,整租,2室1厅1卫,87.87㎡,南 北,2天前,随时入住,低楼层/8层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4700,4700,0.0,4700,https://bj.zu.ke.com/zufang/BJ1939615523297820672.html
朱家坟一里,整租,2室1厅1卫,64.00㎡,南 北,3天前,随时入住,高楼层/5层,无,免费使用,暂无数据,暂无数据,有,暂无数据,暂无数据,需提前预约,季付,2800,2800,0.0,2800,https://bj.zu.ke.com/zufang/BJ1939615637701656576.html
北京城建海梓府,整租,2室1厅1卫,82.00㎡,南 北,6天前,随时入住,低楼层/14层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,6300,6300,0.0,6300,https://bj.zu.ke.com/zufang/BJ1939611805135405056.html
富力又一城C区,整租,2室1厅1卫,88.02㎡,南,今天,随时入住,低楼层/23层,有,租用车位,民水,民电,有,自采暖,2年以内,需提前预约,季付,6300,6300,0.0,6300,https://bj.zu.ke.com/zufang/BJ1939603822414397440.html
核桃园北里,整租,1室1厅1卫,40.00㎡,南,3天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5600,5600,0.0,5600,https://bj.zu.ke.com/zufang/BJ1939611164916842496.html
京达国际公寓,整租,1室1厅1卫,80.00㎡,西,8天前,随时入住,低楼层/16层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,8500,8500,0.0,8500,https://bj.zu.ke.com/zufang/BJ1939628456207712256.html
中国铁建广场,整租,3房间1卫,73.80㎡,东南,4天前,随时入住,高楼层/29层,有,租用车位,商水,商电,无,集中供暖,1年以内,需提前预约,季付,6133,6133,0.0,6133,https://bj.zu.ke.com/zufang/BJ1939632427546705920.html
蜂鸟家园,整租,1室1厅1卫,45.80㎡,北,8天前,随时入住,高楼层/14层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6000,6000,0.0,6000,https://bj.zu.ke.com/zufang/BJ1939657235873398784.html
首创伊林郡一期,整租,3室1厅2卫,126.64㎡,南 北,今天,随时入住,低楼层/17层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,4500,4500,0.0,4500,https://bj.zu.ke.com/zufang/BJ1939633474625339392.html
中建国际城,整租,2室1厅1卫,86.00㎡,南 北,5天前,随时入住,高楼层/13层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4000,4000,0.0,4000,https://bj.zu.ke.com/zufang/BJ1939637346219589632.html
北京城建海梓府,整租,3室1厅1卫,99.00㎡,南 北,1天前,随时入住,中楼层/14层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,7500,7500,0.0,7500,https://bj.zu.ke.com/zufang/BJ1939641464384389120.html
劲松二区,合租,3居室,18.70㎡,南,今天,随时入住,6/6层,无,租用车位,民水,民电,有,集中供暖,4~7个月,随时可看,月付,2971,2971,,0,https://bj.zu.ke.com/zufang/BJ1797238338424406016.html
梧桐苑知秋园,整租,3室2厅1卫,89.00㎡,南,2天前,随时入住,低楼层/21层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4500,4500,0.0,4500,https://bj.zu.ke.com/zufang/BJ1939637023597920256.html
甘露园南里,整租,2室1厅1卫,57.13㎡,南,今天,随时入住,4/6层,无,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,6571,6571,,0,https://bj.zu.ke.com/zufang/BJ1797282924106612736.html
石园大街9号院(三区),整租,2室1厅1卫,85.00㎡,南 北,5天前,随时入住,高楼层/21层,有,免费使用,暂无数据,暂无数据,有,自采暖,暂无数据,需提前预约,季付,3300,3300,0.0,3300,https://bj.zu.ke.com/zufang/BJ1939642789788647424.html
五和万科长阳天地9号院,整租,3房间2卫,52.06㎡,东南,今天,随时入住,低楼层/21层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,季付,4100,4100,0.0,4100,https://bj.zu.ke.com/zufang/BJ1939644038927876096.html
住邦2000,整租,2室2厅1卫,107.24㎡,南,9天前,随时入住,低楼层/28层,有,暂无数据,民水,民电,无,集中供暖,1年以内,需提前预约,季付,11500,11500,0.0,11500,https://bj.zu.ke.com/zufang/BJ1939643103296094208.html
百万庄中里,合租,2居室,10.60㎡,西,3天前,2025-01-05,4/4层,无,租用车位,民水,民电,有,集中供暖,1年,需提前预约,月付,3633,3633,,0,https://bj.zu.ke.com/zufang/BJ1797186021650071552.html
绿城北京诚园,整租,2室1厅1卫,94.00㎡,西北,4天前,随时入住,中楼层/17层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,15000,15000,0.0,15000,https://bj.zu.ke.com/zufang/BJ1939645680314220544.html
富贵园四区,整租,1室1厅1卫,55.40㎡,东,2天前,随时入住,高楼层/10层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,6700,6700,0.0,6700,https://bj.zu.ke.com/zufang/BJ1939655513629261824.html
万科金阳,整租,2室1厅1卫,88.09㎡,东 南 北,4天前,随时入住,高楼层/19层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,季付,8000,8000,0.0,8000,https://bj.zu.ke.com/zufang/BJ1939647145816621056.html
金泰先锋南区,整租,1室0厅1卫,63.58㎡,南,3天前,随时入住,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5900,5900,0.0,5900,https://bj.zu.ke.com/zufang/BJ1939649489023270912.html
远大园三区,整租,3室2厅1卫,130.00㎡,东南,6天前,随时入住,高楼层/17层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,17500,17500,0.0,17500,https://bj.zu.ke.com/zufang/BJ1939686111668338688.html
格瑞雅居,整租,2室1厅1卫,80.72㎡,南 北,5天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,年付,4600,4600,0.0,4600,https://bj.zu.ke.com/zufang/BJ1939676149416198144.html
首开熙悦睿府书香,合租,3居室,13.50㎡,北,今天,随时入住,4/16层,有,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,1816,1816,,0,https://bj.zu.ke.com/zufang/BJ1797488970548903936.html
时代龙和大道,合租,3居室,12.00㎡,南,今天,随时入住,1/15层,有,租用车位,民水,民电,有,自采暖,1年,随时可看,月付,2026,2026,,0,https://bj.zu.ke.com/zufang/BJ1797181585796104192.html
永定路西里,整租,2室1厅1卫,58.00㎡,南 北,4天前,随时入住,中楼层/7层,无,暂无数据,民水,民电,有,集中供暖,1年以内,一般下班后可看,半年付,5500,5500,0.0,5500,https://bj.zu.ke.com/zufang/BJ1939874313750446080.html
橡树湾,整租,3室1厅1卫,89.79㎡,南 北,2天前,随时入住,低楼层/15层,无,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,7500,7500,0.0,7500,https://bj.zu.ke.com/zufang/BJ1940978573582008320.html
